Time [ms],Temp [C]
0,23.33
10155,23.03
20309,22.86
30464,22.79
40618,22.76
50773,22.69
60928,22.72
71082,21.68
81237,13.48
91392,6.24
101546,4.72
111701,4.12
121855,3.81
132010,3.61
142165,3.48
152319,3.34
162474,3.31
172628,3.31
182783,3.31
192938,3.24
203092,3.24
213247,3.24
223401,3.24
233556,3.24
243711,3.24
253865,3.28
264020,3.28
274174,3.28
284329,3.31
294484,3.31
304638,3.34
314793,3.38
324947,3.38
335102,3.44
345257,3.48
355411,3.48
365566,3.51
375721,3.55
385875,3.58
396030,3.65
406184,3.65
416339,3.71
426494,3.75
436648,3.75
446803,3.81
456957,3.81
467112,3.85
477267,3.91
487421,3.95
497576,3.98
507730,4.02
517885,4.05
528040,4.08
538194,4.15
548349,4.18
558504,4.22
568658,4.28
578813,4.32
588967,4.35
599122,4.39
609277,4.45
619431,4.49
629586,4.52
639740,4.59
649895,4.59
660050,4.65
670204,4.69
680359,4.72
690513,4.76
700668,4.79
710823,4.86
720977,4.89
731132,4.92
741287,4.99
751441,5.02
761596,5.06
771750,5.13
781905,5.16
792060,5.19
802214,5.29
812369,5.33
822523,5.39
832678,5.43
842833,5.46
852987,5.5
863142,5.56
873296,5.63
883451,5.66
893606,5.7
903760,5.76
913915,5.8
924069,5.87
934224,5.9
944379,5.97
954533,6
964688,6.03
974842,6.1
984997,6.1
995152,6.17
1005306,6.24
1015461,6.27
1025616,6.27
1035770,6.34
1045925,6.37
1056080,6.44
1066234,6.47
1076389,6.5
1086544,6.57
1096698,6.61
1106853,6.64
1117008,6.67
1127162,6.74
1137317,6.77
1147472,6.81
1157626,6.84
1167781,6.91
1177936,6.94
1188090,6.98
1198245,7.01
1208400,7.04
1218554,7.08
1228709,7.18
1238864,7.18
1249018,7.24
1259173,7.28
1269328,7.31
1279482,7.35
1289637,7.38
1299791,7.41
1309946,7.45
1320101,7.48
1330255,7.55
1340410,7.58
1350565,7.61
1360719,7.68
1370874,7.72
1381029,7.75
1391183,7.78
1401338,7.85
1411493,7.85
1421647,7.92
1431802,7.95
1441957,7.98
1452111,8.05
1462266,8.09
1472421,8.15
1482575,8.19
1492730,8.19
1502885,8.25
1513039,8.29
1523194,8.32
1533349,8.36
1543503,8.42
1553658,8.46
1563813,8.49
1573967,8.52
1584122,8.56
1594277,8.59
1604431,8.62
1614586,8.69
1624741,8.73
1634895,8.76
1645050,8.79
1655205,8.86
1665359,8.86
1675514,8.93
1685669,8.93
1695823,8.96
1705978,9.03
1716133,9.06
1726287,9.1
1736442,9.13
1746597,9.16
1756751,9.16
1766906,9.23
1777061,9.26
1787215,9.3
1797370,9.33
1807525,9.37
1817679,9.4
1827834,9.43
1837989,9.47
1848143,9.5
1858298,9.5
1868453,9.57
1878607,9.6
1888762,9.63
1898917,9.67
1909071,9.7
1919226,9.7
1929381,9.77
1939535,9.8
1949690,9.8
1959844,9.87
1969999,9.9
1980154,9.94
1990308,9.97
2000463,10
2010618,10.04
2020773,10.07
2030927,10.11
2041082,10.17
2051237,10.21
2061391,10.24
2071546,10.27
2081701,10.31
2091856,10.31
2102010,10.34
2112165,10.38
2122320,10.41
2132474,10.44
2142629,10.48
2152784,10.51
2162939,10.58
2173093,10.58
2183248,10.61
2193403,10.64
2203557,10.68
2213712,10.71
2223867,10.75
2234022,10.75
2244176,10.81
2254331,10.81
2264486,10.85
2274640,10.88
2284795,10.91
2294950,10.95
2305105,10.98
2315259,11.02
2325414,11.05
