Time [ms],Temp [C]
0,8.02
10155,8.05
20309,8.09
30464,8.12
40618,8.15
50773,8.19
60928,8.22
71082,8.25
81237,8.25
91392,8.32
101546,8.36
111701,8.39
121855,8.42
132010,8.46
142165,8.46
152319,8.52
162474,8.56
172629,8.56
182783,8.62
192938,8.62
203092,8.66
213247,8.69
223402,8.73
233556,8.76
243711,8.79
253865,8.83
264020,8.86
274175,8.89
284329,8.93
294484,8.93
304638,8.96
314793,9.03
324948,9.06
335102,9.1
345257,9.13
355411,9.13
365566,9.16
375721,9.2
385875,9.23
396030,9.26
406185,9.3
416339,9.3
426494,9.37
436648,9.37
446803,9.4
456958,9.43
467112,9.43
477267,9.5
487421,9.5
497576,9.57
507731,9.57
517885,9.6
528040,9.63
538194,9.67
548349,9.67
558504,9.74
568658,9.74
578813,9.77
588967,9.8
599122,9.84
609277,9.84
619431,9.9
629586,9.9
639741,9.94
649895,9.94
660050,9.97
670204,10
680359,10.07
690514,10.07
700668,10.11
710823,10.11
720977,10.14
731132,10.17
741287,10.24
751441,10.24
761596,10.27
771750,10.31
781905,10.31
792060,10.34
802214,10.38
812369,10.41
822524,10.41
832678,10.44
842833,10.48
852987,10.51
863142,10.51
873297,10.54
883451,10.58
893606,10.61
903760,10.61
913915,10.64
924070,10.68
934224,10.71
944379,10.75
954533,10.75
964688,10.78
974843,10.81
984997,10.85
995152,10.85
1005306,10.88
1015461,10.91
1025616,10.95
1035770,10.98
1045925,10.98
1056080,11.02
1066234,11.05
1076389,11.05
1086544,11.08
1096698,11.08
1106853,11.15
1117008,11.15
1127162,11.18
1137317,11.22
1147472,11.18
1157626,11.25
1167781,11.28
1177936,11.32
1188090,11.32
1198245,11.35
1208400,11.39
1218554,11.39
1228709,11.42
1238864,11.45
1249018,11.45
1259173,11.49
1269328,11.49
1279482,11.52
1289637,11.52
1299792,11.55
1309946,11.59
1320101,11.62
1330256,11.62
1340410,11.66
1350565,11.66
1360720,11.69
1370874,11.72
1381029,11.76
1391184,11.76
1401338,11.79
1411493,11.79
1421648,11.82
1431802,11.82
1441957,11.86
1452112,11.89
1462266,11.89
1472421,11.92
1482575,11.96
1492730,11.96
1502885,11.99
1513039,12.03
1523194,12.03
1533349,12.06
1543503,12.06
1553658,12.13
1563813,12.13
1573967,12.13
1584122,12.16
1594277,12.16
1604431,12.19
1614586,12.19
1624741,12.23
1634895,12.23
1645050,12.26
1655205,12.33
1665359,12.36
1675514,12.36
1685669,12.4
1695823,12.4
1705978,12.4
1716133,12.43
1726287,12.43
1736442,12.46
1746597,12.46
1756751,12.5
1766906,12.5
1777061,12.53
1787215,12.53
1797370,12.57
1807525,12.6
1817679,12.6
1827834,12.63
1837989,12.63
1848143,12.67
1858298,12.7
1868453,12.67
1878607,12.73
1888762,12.73
1898917,12.77
1909071,12.77
1919226,12.77
1929381,12.8
1939535,12.83
1949690,12.83
1959845,12.83
1969999,12.87
1980154,12.9
1990309,12.9
2000463,12.94
2010618,12.94
2020773,12.97
2030928,12.97
2041082,13
2051237,13
2061392,13.04
2071546,13.04
2081701,13.04
2091856,13.07
2102011,13.1
2112165,13.1
2122320,13.14
2132475,13.14
2142629,13.17
2152784,13.17
2162939,13.17
2173093,13.21
2183248,13.24
2193403,13.27
2203558,13.27
2213712,13.27
2223867,13.31
2234022,13.34
2244176,13.34
2254331,13.34
2264486,13.37
2274641,13.37
2284795,13.37
2294950,13.41
2305105,13.44
2315259,13.44
2325414,13.44
2335569,13.48
2345724,13.48
2355878,13.51
2366033,13.51
2376188,13.54
2386342,13.54
2396497,13.54
2406652,13.58
2416806,13.58
2426961,13.58
2437116,13.61
2447271,13.61
2457425,13.64
2467580,13.64
2477735,13.68
2487889,13.71
2498044,13.71
2508199,13.75
2518354,13.75
2528508,13.75
2538663,13.78
2548818,13.81
2558972,13.81
2569127,13.81
2579282,13.85
2589437,13.88
2599591,13.88
2609746,13.88
2619901,13.88
2630055,13.91
2640210,13.91
2650365,13.95
2660519,13.95
2670674,13.98
2680829,13.98
2690984,13.98
2701138,14.01
2711293,14.01
2721448,14.05
2731602,14.05
2741757,14.08
2751912,14.08
2762067,14.12
2772221,14.12
2782376,14.15
2792531,14.15
2802685,14.15
2812840,14.18
2822995,14.18
