Time [ms],Temp [C]
0,6.54
10155,6.54
20309,6.64
30464,6.91
40618,7.18
50773,7.24
60927,7.28
71082,7.24
81237,7.31
91391,7.28
101546,7.31
111700,7.35
121855,7.38
132009,7.38
142164,7.41
152319,7.41
162473,7.45
172628,7.48
182783,7.48
192937,7.51
203092,7.55
213246,7.58
223401,7.61
233556,7.61
243710,7.65
253865,7.68
264019,7.72
274174,7.72
284329,7.75
294483,7.82
304638,7.85
314792,7.85
324947,7.88
335102,7.92
345256,7.92
355411,7.95
365565,7.95
375720,7.98
385875,7.98
396029,8.02
406184,8.05
416338,8.09
426493,8.12
436648,8.12
446802,8.15
456957,8.22
467112,8.22
477266,8.25
487421,8.29
497575,8.32
507730,8.36
517885,8.39
528039,8.46
538194,8.46
548348,8.49
558503,8.52
568658,8.56
578812,8.59
588967,8.62
599121,8.66
609276,8.66
619431,8.73
629585,8.73
639740,8.76
649895,8.79
660049,8.83
670204,8.83
680358,8.89
690513,8.89
700668,8.93
710822,8.96
720977,8.96
731131,9.03
741286,9.06
751441,9.1
761595,9.13
771750,9.16
781904,9.16
792059,9.2
802214,9.23
812368,9.23
822523,9.3
832677,9.3
842832,9.33
852987,9.37
863141,9.37
873296,9.43
883451,9.43
893605,9.47
903760,9.5
913914,9.53
924069,9.57
934224,9.6
944378,9.6
954533,9.63
964687,9.67
974842,9.67
984997,9.7
995151,9.74
1005306,9.77
1015461,9.84
1025615,9.87
1035770,9.87
1045924,9.9
1056079,9.94
1066234,9.97
1076388,9.97
1086543,10
1096698,10.04
1106853,10.04
1117007,10.07
1127162,10.11
1137317,10.14
1147471,10.17
1157626,10.17
1167781,10.24
1177936,10.27
1188090,10.31
1198245,10.31
1208400,10.34
1218554,10.38
1228709,10.41
1238864,10.44
1249019,10.44
1259173,10.44
1269328,10.48
1279483,10.51
1289637,10.51
1299792,10.54
1309947,10.54
1320101,10.58
1330256,10.61
1340411,10.64
1350566,10.64
1360720,10.68
1370875,10.68
1381030,10.71
1391184,10.75
1401339,10.78
1411494,10.81
1421649,10.85
1431803,10.85
1441958,10.88
1452113,10.88
1462267,10.95
1472422,10.98
1482577,10.98
1492732,11.02
1502886,11.05
1513041,11.05
1523196,11.05
1533350,11.08
1543505,11.12
1553660,11.12
1563815,11.15
1573969,11.15
1584124,11.22
1594279,11.22
1604433,11.25
1614588,11.25
1624743,11.28
1634898,11.32
1645052,11.32
1655207,11.35
1665362,11.39
1675516,11.39
1685671,11.39
1695826,11.42
1705981,11.45
1716135,11.45
1726290,11.49
1736445,11.52
1746599,11.52
1756754,11.55
1766909,11.62
1777064,11.59
1787218,11.62
1797373,11.62
1807528,11.66
1817682,11.66
1827837,11.69
1837992,11.69
1848146,11.72
1858301,11.72
1868456,11.76
1878611,11.79
1888765,11.79
1898920,11.82
1909075,11.82
1919229,11.86
1929384,11.89
1939539,11.92
1949694,11.92
1959848,11.92
1970003,11.96
1980158,11.96
1990312,11.96
2000467,11.99
2010622,12.03
2020777,12.06
2030931,12.06
2041086,12.06
2051241,12.06
2061395,12.09
2071550,12.13
2081705,12.13
2091860,12.19
2102014,12.19
2112169,12.19
2122324,12.23
2132478,12.26
2142633,12.3
2152788,12.3
