"Time [ms]","Temp [C]"
0,22.76
10155,22.79
20309,22.76
30464,17.32
40618,13.61
50773,11.89
60928,10.95
71082,10.31
81237,9.90
91391,9.57
101546,9.37
111701,9.16
121855,9.10
132010,8.93
142164,8.89
152319,8.83
162474,8.73
172628,8.73
182783,8.62
192938,8.66
203092,8.62
213247,8.59
223401,8.59
233556,8.59
243711,8.59
253865,8.56
264020,8.56
274174,8.56
284329,8.59
294484,8.56
304638,8.56
314793,8.59
324947,8.59
335102,8.59
345257,8.62
355411,8.62
365566,8.66
375720,8.66
385875,8.66
396030,8.69
406184,8.69
416339,8.73
426494,8.73
436648,8.76
446803,8.79
456957,8.79
467112,8.83
477267,8.86
487421,8.86
497576,8.89
507730,8.93
517885,8.93
528040,8.96
538194,8.96
548349,9.03
558503,9.03
568658,9.06
578813,9.06
588967,9.10
599122,9.13
609276,9.16
619431,9.20
629586,9.23
639740,9.23
649895,9.26
660049,9.30
670204,9.30
680359,9.37
690513,9.40
700668,9.40
710823,9.40
720977,9.47
731132,9.47
741286,9.53
751441,9.53
761596,9.57
771750,9.60
781905,9.63
792059,9.67
802214,9.67
812369,9.70
822523,9.70
832678,9.77
842832,9.80
852987,9.80
863142,9.87
873296,9.87
883451,9.90
893606,9.94
903760,10.00
913915,9.97
924069,10.04
934224,10.07
944379,10.11
954533,10.14
964688,10.14
974843,10.17
984997,10.21
995152,10.24
1005307,10.24
1015461,10.31
1025616,10.31
1035771,10.34
1045926,10.38
1056080,10.38
1066235,10.41
1076390,10.48
1086544,10.48
1096699,10.54
1106854,10.54
1117009,10.58
1127163,10.58
1137318,10.64
1147473,10.68
1157627,10.68
1167782,10.71
1177937,10.75
1188091,10.75
1198246,10.78
1208401,10.85
1218556,10.85
1228710,10.88
1238865,10.91
1249020,10.91
1259174,10.98
1269329,10.98
1279484,11.02
1289639,11.05
1299793,11.05
1309948,11.08
1320103,11.12
1330257,11.15
1340412,11.18
1350567,11.18
1360722,11.22
1370876,11.22
1381031,11.28
1391186,11.28
1401340,11.32
1411495,11.35
1421650,11.35
1431805,11.39
1441959,11.42
1452114,11.45
1462269,11.49
1472423,11.52
1482578,11.52
1492733,11.55
1502888,11.59
1513042,11.59
1523197,11.66
1533352,11.66
1543506,11.66
1553661,11.69
1563816,11.72
1573971,11.76
1584125,11.79
1594280,11.79
1604435,11.82
1614589,11.86
1624744,11.89
1634899,11.89
1645053,11.92
1655208,11.96
1665363,11.96
1675518,11.99
1685672,11.99
1695827,12.03
1705982,12.06
1716136,12.06
1726291,12.13
1736446,12.13
1746601,12.19
1756755,12.16
1766910,12.19
1777065,12.23
1787219,12.23
1797374,12.26
1807529,12.30
1817684,12.30
1827838,12.33
1837993,12.36
1848148,12.36
1858302,12.40
1868457,12.43
1878612,12.43
1888766,12.46
1898921,12.46
1909076,12.53
1919231,12.53
1929385,12.57
1939540,12.57
1949695,12.60
1959849,12.60
1970004,12.63
1980159,12.63
1990314,12.67
2000468,12.70
2010623,12.70
2020778,12.73
2030932,12.73
2041087,12.77
2051242,12.80
2061397,12.80
2071551,12.83
2081706,12.87
2091861,12.87
2102015,12.90
2112170,12.90
2122325,12.94
