Time [ms],Temp [C]
0,20.66
10155,20.8
20309,20.9
30464,20.97
40618,21.03
50773,21.07
60928,21.1
71082,21.1
81237,21.14
91391,21.1
101546,21.1
111701,21.1
121855,21.1
132010,21.07
142165,21.07
152319,21.07
162474,21.07
172629,21.07
182783,21.07
192938,21.07
203093,21.03
213247,21.03
223402,21.03
233557,21.03
243711,21.03
253866,21.03
264021,21.03
274175,21.03
284330,21.03
294485,21.03
304639,21.03
314794,21
324948,21.03
335103,21
345258,21.03
355412,21
365567,21.03
375722,21.03
385876,21.03
396031,21
406186,21.03
416340,21
426495,21.03
436650,21.03
446804,21
456959,21
467114,21
477268,21.03
487423,21.03
497578,21.03
507732,21.03
517887,21.03
528042,21.03
538196,21.03
548351,21
558505,21
568660,21
578815,21
588969,21.03
599124,21.03
