Time [ms],Temp [C]
0,13.81
10155,11.52
20309,10.07
30464,9.13
40618,8.49
50773,8.05
60928,7.72
71082,7.48
81237,7.31
91391,7.18
101546,7.08
111700,7.01
121855,6.94
132010,6.91
142164,6.87
152319,6.87
162473,6.87
172628,6.91
182783,6.94
192937,6.98
203092,6.98
213246,7.01
223401,7.04
233556,7.08
243710,7.11
253865,7.11
264019,7.14
274174,7.18
284329,7.21
294483,7.28
304638,7.31
314793,7.38
324947,7.38
335102,7.45
345256,7.48
355411,7.51
365566,7.58
375720,7.61
385875,7.68
396029,7.72
406184,7.78
416339,7.82
426493,7.85
436648,7.88
446802,7.95
456957,7.98
467112,8.02
477266,8.09
487421,8.15
497575,8.19
507730,8.25
517885,8.29
528039,8.32
538194,8.36
548349,8.42
558503,8.49
568658,8.52
578812,8.59
588967,8.62
599122,8.69
609276,8.76
619431,8.83
629585,8.86
639740,8.93
649895,8.93
660049,8.96
670204,9.03
680358,9.06
690513,9.1
700668,9.16
710822,9.2
720977,9.26
731132,9.26
741286,9.3
751441,9.37
761595,9.4
771750,9.43
781905,9.5
792059,9.53
802214,9.57
812368,9.63
822523,9.67
832678,9.7
842832,9.77
852987,9.84
863141,9.84
873296,9.9
883451,9.94
893605,9.97
903760,9.97
913914,10.04
924069,10.07
934224,10.14
944378,10.17
954533,10.17
964688,10.24
974842,10.27
984997,10.31
995152,10.34
1005306,10.38
1015461,10.44
1025616,10.51
1035771,10.54
1045925,10.58
1056080,10.61
1066235,10.64
1076389,10.68
1086544,10.75
1096699,10.75
1106854,10.81
1117008,10.85
1127163,10.88
1137318,10.88
1147472,10.95
1157627,10.98
1167782,11.02
1177937,11.05
1188091,11.08
1198246,11.12
1208401,11.18
1218555,11.22
1228710,11.25
1238865,11.28
1249019,11.32
1259174,11.39
1269329,11.42
1279484,11.45
1289638,11.52
1299793,11.55
1309948,11.59
1320102,11.62
1330257,11.66
1340412,11.69
1350567,11.69
1360721,11.72
1370876,11.76
1381031,11.79
1391185,11.82
1401340,11.86
1411495,11.89
1421650,11.89
1431804,11.96
1441959,11.99
1452114,12.03
1462268,12.03
1472423,12.06
1482578,12.13
1492733,12.13
1502887,12.16
1513042,12.19
1523197,12.26
1533351,12.3
1543506,12.33
1553661,12.33
1563815,12.4
1573970,12.4
1584125,12.43
1594280,12.46
1604434,12.5
1614589,12.53
1624744,12.57
1634899,12.57
1645053,12.6
1655208,12.63
1665363,12.67
1675517,12.7
1685672,12.73
1695827,12.77
1705981,12.8
1716136,12.83
1726291,12.83
1736446,12.9
1746600,12.94
1756755,12.97
1766910,13
1777065,13
1787219,13.04
1797374,13.1
1807529,13.1
1817683,13.14
1827838,13.17
1837993,13.21
1848148,13.24
1858302,13.24
1868457,13.27
1878612,13.31
1888766,13.34
1898921,13.37
1909076,13.37
1919230,13.44
1929385,13.44
1939540,13.51
1949695,13.51
1959849,13.54
1970004,13.58
1980159,13.61
1990313,13.64
2000468,13.68
2010623,13.68
2020778,13.75
2030932,13.78
2041087,13.78
2051242,13.81
2061396,13.81
2071551,13.85
2081706,13.85
2091861,13.88
2102015,13.91
2112170,13.95
2122325,13.98
2132479,14.01
2142634,14.05
2152789,14.05
2162944,14.08
2173098,14.12
2183253,14.15
2193408,14.15
2203562,14.22
2213717,14.22
2223872,14.25
2234026,14.28
2244181,14.32
2254336,14.32
2264491,14.35
2274645,14.39
2284800,14.39
2294955,14.42
2305109,14.45
2315264,14.49
2325419,14.49
2335574,14.52
2345728,14.55
2355883,14.55
2366038,14.59
2376192,14.62
2386347,14.66
2396502,14.69
2406657,14.72
2416811,14.72
2426966,14.76
2437121,14.79
2447275,14.79
2457430,14.82
2467585,14.86
2477740,14.86
2487894,14.89
2498049,14.93
2508204,14.96
2518358,14.99
2528513,15.03
2538668,15.03
2548823,15.06
2558977,15.09
2569132,15.09
2579287,15.13
2589441,15.13
2599596,15.16
2609751,15.2
2619906,15.23
2630060,15.23
2640215,15.3
2650370,15.3
2660524,15.3
2670679,15.33
2680834,15.36
2690989,15.4
2701143,15.43
2711298,15.46
2721453,15.46
2731607,15.5
2741762,15.5
2751917,15.5
2762072,15.53
2772226,15.53
2782381,15.57
2792536,15.6
2802690,15.6
2812845,15.63
2823000,15.67
2833154,15.67
2843309,15.7
2853464,15.7
2863619,15.73
2873773,15.77
2883928,15.8
2894083,15.84
2904237,15.84
2914392,15.9
2924547,15.9
2934702,15.94
2944856,15.97
2955011,15.97
2965166,16.04
2975320,16.04
2985475,16.07
2995630,16.07
3005784,16.11
3015939,16.11
3026094,16.14
3036249,16.17
3046403,16.17
3056558,16.21
3066713,16.21
3076867,16.21
3087022,16.27
3097177,16.27
3107332,16.27
3117486,16.31
3127641,16.31
3137796,16.34
3147950,16.38
3158105,16.41
3168260,16.44
3178415,16.48
3188569,16.51
3198724,16.51
3208879,16.51
3219033,16.58
3229188,16.61
3239343,16.61
3249498,16.65
3259652,16.68
3269807,16.68
3279962,16.71
3290116,16.71
3300271,16.71
3310426,16.75
3320580,16.75
3330735,16.78
3340890,16.81
3351045,16.81
3361199,16.85
3371354,16.88
3381509,16.88
3391663,16.92
3401818,16.95
3411973,16.95
3422128,16.95
3432282,16.98
3442437,17.02
3452592,17.02
3462746,17.05
3472901,17.08
3483056,17.08
3493211,17.12
3503365,17.15
3513520,17.19
3523675,17.19
3533829,17.19
3543984,17.19
3554139,17.22
3564294,17.22
3574448,17.25
3584603,17.25
3594758,17.29
3604912,17.29
3615067,17.32
3625222,17.35
3635376,17.35
3645531,17.35
3655686,17.35
3665841,17.39
3675995,17.42
3686150,17.42
3696305,17.42
3706459,17.46
3716614,17.46
3726769,17.49
3736924,17.49
3747078,17.52
3757233,17.56
3767388,17.56
3777542,17.56
3787697,17.59
3797852,17.62
3808007,17.62
3818161,17.66
3828316,17.66
3838471,17.66
3848625,17.66
3858780,17.66
3868935,17.69
3879091,17.73
3889244,17.73
3899399,17.76
3909555,17.76
3919708,17.79
3929863,17.79
3940019,17.79
3950174,17.83
3960327,17.83
3970483,17.86
3980638,17.86
3990791,17.89
4000947,17.89
4011102,17.93
4021257,17.93
4031411,17.93
4041566,17.96
4051721,17.96
4061875,18
4072030,18
4082185,18.03
4092339,18.03
4102494,18.03
4112649,18.06
4122804,18.1
4132958,18.1
4143113,18.1
4153268,18.1
4163423,18.13
4173577,18.13
4183732,18.16
4193887,18.16
4204041,18.2
4214196,18.2
4224351,18.23
4234506,18.23
4244660,18.23
4254815,18.27
4264970,18.27
4275124,18.27
4285279,18.3
4295434,18.33
4305589,18.33
4315743,18.33
4325898,18.37
4336053,18.37
4346207,18.37
4356362,18.4
4366517,18.4
4376672,18.4
4386826,18.4
4396981,18.43
4407136,18.43
4417290,18.47
4427445,18.5
4437600,18.5
4447755,18.5
4457909,18.54
4468064,18.54
4478219,18.57
4488373,18.57
4498528,18.57
4508683,18.6
4518837,18.6
4528992,18.6
4539147,18.64
4549302,18.64
4559456,18.64
4569611,18.67
4579766,18.67
4589920,18.7
4600075,18.7
4610230,18.7
4620385,18.74
4630539,18.77
4640694,18.77
4650849,18.77
4661003,18.77
4671158,18.81
4681313,18.77
4691468,18.81
4701622,18.81
4711777,18.81
4721932,18.84
4732086,18.84
4742241,18.84
4752396,18.87
4762551,18.87
4772705,18.87
4782860,18.91
4793015,18.91
4803169,18.94
4813324,18.94
4823479,18.94
4833634,18.97
4843788,18.97
4853943,19.01
4864098,19.01
4874252,19.01
4884407,19.01
4894562,19.01
4904717,19.04
4914871,19.04
4925026,19.04
4935181,19.08
4945335,19.11
4955490,19.08
4965645,19.08
4975799,19.11
4985954,19.11
4996109,19.11
5006264,19.14
5016418,19.14
5026573,19.14
5036728,19.18
5046882,19.21
5057037,19.21
5067192,19.21
5077347,19.21
5087501,19.24
5097656,19.24
5107811,19.28
5117965,19.24
5128120,19.24
5138275,19.28
5148430,19.28
5158584,19.31
5168739,19.31
5178894,19.31
5189048,19.35
5199203,19.35
5209358,19.35
5219513,19.35
5229667,19.38
5239822,19.38
5249977,19.38
5260131,19.41
5270286,19.41
5280441,19.41
5290596,19.41
5300750,19.41
5310905,19.45
5321060,19.45
5331214,19.48
5341369,19.48
5351524,19.48
5361678,19.48
5371833,19.48
5381988,19.48
5392143,19.51
5402297,19.51
5412452,19.55
5422607,19.55
5432761,19.55
5442916,19.58
5453071,19.58
5463226,19.58
5473380,19.58
5483535,19.58
5493690,19.62
5503844,19.65
5513999,19.62
5524154,19.62
5534309,19.62
5544463,19.65
5554618,19.65
5564773,19.68
5574927,19.68
5585082,19.68
5595237,19.68
5605391,19.72
5615546,19.72
5625701,19.72
5635856,19.72
5646010,19.75
5656165,19.75
5666320,19.75
5676474,19.78
5686629,19.78
5696784,19.78
5706939,19.78
5717093,19.82
5727248,19.82
5737403,19.82
5747557,19.82
5757712,19.82
5767867,19.85
5778022,19.85
5788176,19.85
5798331,19.85
5808486,19.89
5818640,19.89
5828795,19.89
5838950,19.89
5849105,19.92
5859259,19.92
5869414,19.92
5879569,19.92
5889723,19.95
5899878,19.95
5910033,19.95
5920188,19.95
5930342,19.95
5940497,19.99
5950652,19.99
5960806,19.99
5970961,19.99
5981116,19.99
5991270,19.99
6001425,19.99
6011580,20.02
6021735,20.06
6031889,20.06
6042044,20.06
6052199,20.06
6062353,20.09
6072508,20.06
6082663,20.09
6092817,20.09
6102972,20.09
6113127,20.09
6123282,20.09
6133436,20.16
6143591,20.12
6153746,20.12
6163900,20.16
6174055,20.16
6184210,20.16
6194365,20.16
6204519,20.16
6214674,20.19
6224829,20.19
6234983,20.19
6245138,20.19
6255293,20.19
6265448,20.22
6275602,20.22
6285757,20.22
6295912,20.26
6306066,20.22
6316221,20.22
6326376,20.26
6336531,20.26
6346685,20.26
6356840,20.29
6366995,20.29
6377149,20.29
6387304,20.29
6397459,20.29
6407614,20.33
6417768,20.33
6427923,20.33
6438078,20.33
6448232,20.36
6458387,20.33
6468542,20.36
6478696,20.33
6488851,20.36
6499006,20.36
6509161,20.36
6519315,20.39
6529470,20.39
6539625,20.39
6549779,20.39
6559934,20.39
6570089,20.43
6580244,20.43
6590398,20.43
6600553,20.43
6610708,20.46
6620862,20.46
6631017,20.46
6641172,20.43
6651327,20.46
6661481,20.46
6671636,20.49
6681791,20.46
6691945,20.49
6702100,20.49
6712255,20.49
6722409,20.49
6732564,20.53
6742719,20.53
6752874,20.53
6763028,20.53
6773183,20.53
6783338,20.56
6793493,20.56
6803647,20.56
6813802,20.56
6823957,20.56
6834111,20.6
6844266,20.56
6854421,20.6
6864576,20.6
6874730,20.6
6884885,20.6
6895040,20.6
6905194,20.63
6915349,20.63
6925504,20.63
6935658,20.63
6945813,20.63
6955968,20.63
6966123,20.63
6976277,20.66
6986432,20.66
6996587,20.66
7006741,20.66
7016896,20.7
7027051,20.7
7037206,20.7
7047360,20.7
7057515,20.7
7067670,20.7
7077824,20.73
7087979,20.73
7098134,20.7
7108289,20.73
7118443,20.73
7128598,20.73
7138753,20.73
7148907,20.76
7159062,20.73
7169217,20.76
7179372,20.76
7189526,20.76
7199681,20.76
7209836,20.8
7219990,20.8
7230145,20.8
7240300,20.8
7250454,20.8
7260609,20.8
7270764,20.83
7280919,20.83
7291073,20.83
7301228,20.87
7311383,20.83
7321537,20.87
7331692,20.83
7341847,20.87
7352002,20.87
7362156,20.87
7372311,20.87
7382466,20.87
7392620,20.87
7402775,20.87
7412930,20.87
7423085,20.9
7433239,20.9
7443394,20.9
7453549,20.93
7463703,20.9
7473858,20.9
7484013,20.93
7494167,20.93
7504322,20.93
7514477,20.93
7524632,20.93
7534786,20.97
7544941,20.97
7555096,20.93
7565250,20.97
7575405,21
7585560,21
7595715,21
7605869,21.03
7616024,21.03
7626179,21.07
7636333,21.03
7646488,21.03
7656643,21
7666797,21.03
7676952,21.03
7687107,21.03
7697262,21.03
7707416,21.03
7717571,21.03
7727726,21.07
7737880,21.07
7748035,21.03
7758190,21.07
7768345,21.07
7778499,21.07
7788654,21.07
7798809,21.1
7808963,21.1
7819118,21.1
7829273,21.1
7839428,21.1
7849582,21.1
7859737,21.1
7869892,21.1
7880046,21.14
7890201,21.14
7900356,21.14
7910510,21.14
7920665,21.17
7930820,21.14
7940975,21.17
7951129,21.17
7961284,21.17
7971439,21.2
7981593,21.2
7991748,21.17
8001903,21.2
8012058,21.17
8022212,21.2
8032367,21.2
8042522,21.2
8052676,21.2
8062831,21.2
8072986,21.2
8083141,21.24
8093295,21.24
8103450,21.24
8113605,21.24
8123759,21.24
8133914,21.24
8144069,21.27
8154224,21.27
8164378,21.27
8174533,21.27
8184688,21.27
8194842,21.27
8204997,21.27
8215152,21.27
8225307,21.27
8235461,21.31
8245616,21.27
8255771,21.31
8265925,21.27
8276080,21.31
8286235,21.31
8296390,21.31
8306544,21.31
8316699,21.31
8326854,21.31
8337008,21.31
8347163,21.31
8357318,21.34
8367473,21.34
8377627,21.34
8387782,21.34
8397937,21.34
8408091,21.34
8418246,21.37
8428401,21.34
8438556,21.37
8448710,21.37
8458865,21.37
8469020,21.37
8479174,21.37
8489329,21.37
8499484,21.37
8509638,21.37
8519793,21.41
8529948,21.41
8540103,21.41
8550257,21.41
8560412,21.41
8570567,21.41
8580721,21.41
8590876,21.41
8601031,21.44
8611186,21.44
8621340,21.44
8631495,21.41
8641650,21.44
8651804,21.41
8661959,21.44
8672114,21.44
8682269,21.44
8692423,21.44
8702578,21.44
8712733,21.44
8722887,21.44
8733042,21.47
8743197,21.47
8753352,21.47
8763506,21.47
8773661,21.47
8783816,21.47
8793970,21.47
8804125,21.47
8814280,21.47
8824434,21.51
8834589,21.54
8844744,21.51
8854899,21.51
8865053,21.54
8875208,21.54
8885363,21.54
8895517,21.54
8905672,21.54
8915827,21.58
8925982,21.58
8936136,21.61
8946291,21.61
8956446,21.61
8966600,21.61
8976755,21.61
8986910,21.64
8997065,21.64
9007219,21.64
9017374,21.68
9027529,21.64
9037683,21.64
9047838,21.64
9057993,21.68
9068148,21.68
9078302,21.68
9088457,21.68
9098612,21.68
9108766,21.64
9118921,21.68
9129076,21.68
9139231,21.68
9149385,21.68
9159540,21.71
9169695,21.68
9179849,21.68
9190004,21.71
9200159,21.68
9210314,21.71
9220468,21.71
9230623,21.71
9240778,21.71
9250932,21.71
9261087,21.71
9271242,21.74
9281397,21.71
9291551,21.74
9301706,21.74
9311861,21.74
9322015,21.74
9332170,21.74
9342325,21.74
9352479,21.74
9362634,21.74
9372789,21.74
9382944,21.78
9393098,21.78
9403253,21.78
9413408,21.78
9423563,21.78
9433717,21.78
9443872,21.78
9454027,21.81
9464181,21.81
9474336,21.78
9484491,21.78
9494646,21.81
9504800,21.81
9514955,21.81
9525110,21.81
9535264,21.81
9545419,21.81
9555574,21.85
9565729,21.81
9575883,21.81
9586038,21.85
9596193,21.85
9606347,21.85
9616502,21.81
9626657,21.85
9636811,21.81
9646966,21.81
9657121,21.85
9667276,21.85
9677430,21.85
9687585,21.85
9697740,21.85
9707894,21.85
9718049,21.88
9728204,21.88
9738359,21.88
9748513,21.88
9758668,21.88
9768823,21.91
9778977,21.88
9789132,21.88
9799287,21.91
9809442,21.91
9819596,21.91
9829751,21.91
9839906,21.91
9850060,21.91
9860215,21.91
9870370,21.91
9880525,21.91
9890679,21.91
9900834,21.91
9910989,21.91
9921143,21.91
9931298,21.95
9941453,21.95
9951607,21.95
9961762,21.95
9971917,21.95
9982072,21.95
9992226,21.98
10002381,21.95
10012536,21.95
10022691,21.98
10032845,21.95
10043000,21.95
10053155,21.95
10063310,21.95
10073464,21.98
10083619,21.98
10093774,21.98
10103929,21.98
10114083,21.98
10124238,21.98
10134393,21.98
10144548,21.98
10154702,21.98
10164857,21.98
10175012,21.98
10185167,21.98
